id,pregunta,a,b,c,d,correcta,OA,PAES
ciencias-01,"En un experimento controlado, ¿qué variable se mantiene constante al caso 1?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-02,"En un experimento controlado, ¿qué variable se mantiene constante al caso 2?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-03,"En un experimento controlado, ¿qué variable se mantiene constante al caso 3?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-04,"En un experimento controlado, ¿qué variable se mantiene constante al caso 4?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-05,"En un experimento controlado, ¿qué variable se mantiene constante al caso 5?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-06,"En un experimento controlado, ¿qué variable se mantiene constante al caso 6?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-07,"En un experimento controlado, ¿qué variable se mantiene constante al caso 7?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-08,"En un experimento controlado, ¿qué variable se mantiene constante al caso 8?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-09,"En un experimento controlado, ¿qué variable se mantiene constante al caso 9?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
ciencias-10,"En un experimento controlado, ¿qué variable se mantiene constante al caso 10?",Variable dependiente,Variable independiente,Variable de control,Error de medición,c,Biología/Química/Física — habilidades científicas,Ciencias
